item1,item2,count
0823165005,"['0823118004', '0861478001', '0599580072', '0776237031', '0811835009', '0827411001', '0823165002', '0823118002', '0823165001', '0823118001']",10
0823505002,"['0351484002', '0599580052', '0811835005', '0699080001', '0806225002', '0723529001', '0713199006', '0688537004', '0699081001', '0590928001']",10
0824337001,"['0741356002', '0741356008', '0873564004', '0824337002', '0879436002', '0824337007', '0824337003', '0873564005', '0749699001', '0741356004']",10
0827411001,"['0812658001', '0868018004', '0861478001', '0832284001', '0827411006', '0811925009', '0868018003', '0861411003', '0754404004', '0834179002']",10
0827411006,"['0833500002', '0901955001', '0827411001', '0822946002', '0834217009', '0841699003', '0868018003', '0839457002', '0861478001', '0835136002']",10
0832114005,"['0841699008', '0833499002', '0811907006', '0833530002', '0841699003', '0599580038', '0834217009', '0590928022', '0599580046', '0599580052']",10
0832284001,"['0827411001', '0599580052', '0834179002', '0713199006', '0806225002', '0861478001', '0806225008', '0861411003', '0834217004', '0811835005']",10
0832330002,"['0832331002', '0688537004', '0868018004', '0754404004', '0599580052', '0854261001', '0811925009', '0600886011', '0687034023', '0684209027']",10
0832331002,"['0832330002', '0684209004', '0688537004', '0599580052', '0590928001', '0811925009', '0854261001', '0827411001', '0599580017', '0868018004']",10
0832481005,"['0816563005', '0882066001', '0845032003', '0821163008', '0749699002', '0821163009', '0749699001', '0832481003', '0880839001', '0832481002']",10
0833499002,"['0833530002', '0832114005', '0833499006', '0833530006', '0599580052', '0688537004', '0559616020', '0811907006', '0833499003', '0811925009']",10
0833499006,"['0833530006', '0833499002', '0599580074', '0811835005', '0833530002', '0599580052', '0833499003', '0684209027', '0559616020', '0599580038']",10
0833530002,"['0833499002', '0811907006', '0833530006', '0599580052', '0832114005', '0833499006', '0688537004', '0841699008', '0599580038', '0559616020']",10
0833530006,"['0833499006', '0811835005', '0833530002', '0833499002', '0599580074', '0599580052', '0599580038', '0806225008', '0684209027', '0688537021']",10
0834179002,"['0832284001', '0827411001', '0799417001', '0861478001', '0834217004', '0600886011', '0868018004', '0806225002', '0600886001', '0571706001']",10
0834217004,"['0806225002', '0599580052', '0757915002', '0834217009', '0838055001', '0699081001', '0865880001', '0571706001', '0599580038', '0688537004']",10
0834217009,"['0841699003', '0901955001', '0776237020', '0811835005', '0834217004', '0827411006', '0684209013', '0599580055', '0599580052', '0599580038']",10
0838055001,"['0351484002', '0699081001', '0599580052', '0864498001', '0684209027', '0723529001', '0699080001', '0688537004', '0838055002', '0688537021']",10
0838055002,"['0739590032', '0351484039', '0846279001', '0838055003', '0684209027', '0838055001', '0351484041', '0688537021', '0860949002', '0684209013']",10
0841383002,"['0841383003', '0803772001', '0610776002', '0767869001', '0572797002', '0610776001', '0554598001', '0759871002', '0749699001', '0565379002']",10
0841383003,"['0841383002', '0803772002', '0572797002', '0803772001', '0565379002', '0610776001', '0800691007', '0767869002', '0772773002', '0863937007']",10
0841699002,"['0599580046', '0571706012', '0860820001', '0860819001', '0684209019', '0841699003', '0834217009', '0841699008', '0843873004', '0599580038']",10
0841699003,"['0834217009', '0827411006', '0841699008', '0599580055', '0776237020', '0599580074', '0832114005', '0811835005', '0599580052', '0841699002']",10
0843872006,"['0843873007', '0861443003', '0861411003', '0698276009', '0850176003', '0684209027', '0854619003', '0827411001', '0861410003', '0843872002']",10
0843873007,"['0843872006', '0861443003', '0684209027', '0861411003', '0861442003', '0698276009', '0688537004', '0820866002', '0850176003', '0688537021']",10
0850176003,"['0854619003', '0811927004', '0739590037', '0811925005', '0599580052', '0850176002', '0684209027', '0854619002', '0688537004', '0838055001']",10
0854043005,"['0810838010', '0854043006', '0852174003', '0852174001', '0806778001', '0720125001', '0825318009', '0854043001', '0757303012', '0854043007']",10
0854261001,"['0868018004', '0832330002', '0688537004', '0832331002', '0599580052', '0754404004', '0712924012', '0811925009', '0861478001', '0757995009']",10
0854619003,"['0850176003', '0811925005', '0811927004', '0739590037', '0806225009', '0854619002', '0850176002', '0599580052', '0684209027', '0688537021']",10
0854677001,"['0854683001', '0854677003', '0854683003', '0854677002', '0854678001', '0854683002', '0854677004', '0854683004', '0854679003', '0854678003']",10
0854677002,"['0854683002', '0854679002', '0854677004', '0854677003', '0854683004', '0854683003', '0854678002', '0854683001', '0854679005', '0854677001']",10
0854677003,"['0854683003', '0854679003', '0854677002', '0854683002', '0854678003', '0854677004', '0854683001', '0854677001', '0854683004', '0854679002']",10
0854677004,"['0854683004', '0854679005', '0854677002', '0854678005', '0854683002', '0854677003', '0854683003', '0854679002', '0854678002', '0854683001']",10
0854678001,"['0854683001', '0854678003', '0854678002', '0854677001', '0854683002', '0854683003', '0854678005', '0854683004', '0854677002', '0854677003']",10
0854678002,"['0854683002', '0854679002', '0854678005', '0854678003', '0854677002', '0854683004', '0854683003', '0854683001', '0854678001', '0854679005']",10
0854678003,"['0854683003', '0854679003', '0854678002', '0854677003', '0854683002', '0854678005', '0854678001', '0854683001', '0854683004', '0854677002']",10
0854678005,"['0854683004', '0854679005', '0854678002', '0854677004', '0854683002', '0854678003', '0854683003', '0854677002', '0854679002', '0854678001']",10
0854679002,"['0854677002', '0854678002', '0854683002', '0854679005', '0854679003', '0854677004', '0854678005', '0854677003', '0854678003', '0854683004']",10
0854679003,"['0854677003', '0854678003', '0854683003', '0854679002', '0854677002', '0854679005', '0854678002', '0854678005', '0854677004', '0854683001']",10
0854679005,"['0854677004', '0854678005', '0854683004', '0854679002', '0854677002', '0854679003', '0854678002', '0854677003', '0854683002', '0854678003']",10
0854683001,"['0854677001', '0854678001', '0854683003', '0854683002', '0854677003', '0854683004', '0854678003', '0854677002', '0854678002', '0854678005']",10
0854683002,"['0854677002', '0854678002', '0854683004', '0854683003', '0854683001', '0854677004', '0854677003', '0854678005', '0854678003', '0854679002']",10
0854683003,"['0854677003', '0854678003', '0854683002', '0854683001', '0854683004', '0854677002', '0854679003', '0854678002', '0854677004', '0854677001']",10
0854683004,"['0854677004', '0854678005', '0854683002', '0854677002', '0854683003', '0854678002', '0854679005', '0854683001', '0854677003', '0854678003']",10
0860949001,"['0739590031', '0860949002', '0739590032', '0599580052', '0599580046', '0860949003', '0684209019', '0599580055', '0687034023', '0811907006']",10
0860949002,"['0739590032', '0860949001', '0739590031', '0351484039', '0838055002', '0834217005', '0846279001', '0854677003', '0599580038', '0687034023']",10
0861411003,"['0861410003', '0861411002', '0861410002', '0827411001', '0843872006', '0861478001', '0812658001', '0868018004', '0843873007', '0832284001']",10
0861478001,"['0861477001', '0827411001', '0868018004', '0823165005', '0823118004', '0861411003', '0834179002', '0832284001', '0861478002', '0868018003']",10
0863000005,"['0878013004', '0878013001', '0863001001', '0871477005', '0863000004', '0865533001', '0863000002', '0824767001', '0822158001', '0817361007']",10
0864716001,"['0854677004', '0854677003', '0854683001', '0854683002', '0854679003', '0854677002', '0854683003', '0854683004', '0854679005', '0854678002']",10
0865073002,"['0865073001', '0873564004', '0865073003', '0741356002', '0835563007', '0835563002', '0865073005', '0817472001', '0746994002', '0746994009']",10
0865533001,"['0857277001', '0865532001', '0863000005', '0861712001', '0817361007', '0816166005', '0871477005', '0817361002', '0857272001', '0878013004']",10
0866383001,"['0739590027', '0832330002', '0590928001', '0820866011', '0806225002', '0688537004', '0811925009', '0827411001', '0832331002', '0866383003']",10
0868018003,"['0687034023', '0684209027', '0806225008', '0776237011', '0599580038', '0868018004', '0827411001', '0832298003', '0688537021', '0827411006']",10
0868018004,"['0854261001', '0832330002', '0827411001', '0861478001', '0868018003', '0642498004', '0590928001', '0600886011', '0684209004', '0832331002']",10
0878013004,"['0863000005', '0878013001', '0863001001', '0863000004', '0863000002', '0824767001', '0749699002', '0816166005', '0865533001', '0880839001']",10
0879436002,"['0741356002', '0824337001', '0597891002', '0879436003', '0873564004', '0305304008', '0879436001', '0741356008', '0741356004', '0749699001']",10
0880839001,"['0880839002', '0844411003', '0717727011', '0212629004', '0844411001', '0901607003', '0821336002', '0212629048', '0844411002', '0767799003']",10
